Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate
2021-06-19 03:01:00,24.625,100.0,4.116,8.43818,0.38,192.0
2021-06-19 03:02:00,24.625,100.0,3.566,8.48358,0.38,192.0
2021-06-19 03:03:00,24.625,100.0,4.445,8.42911,0.38,189.0
2021-06-19 03:04:00,24.5625,100.0,3.093,8.42911,0.38,193.0
2021-06-19 03:05:00,24.5625,100.0,10.768,8.42457,0.38,190.0
2021-06-19 03:06:00,24.625,100.0,2.206,8.48358,0.38,191.0
2021-06-19 03:07:00,24.5625,100.0,3.803,8.42003,0.38,183.0
2021-06-19 03:08:00,24.5625,100.0,28.703,8.43365,0.38,194.0
2021-06-19 03:09:00,24.5625,100.0,3.761,8.43365,0.38,187.0
2021-06-19 03:10:00,24.5625,100.0,5.443,8.43365,0.38,192.0
2021-06-19 03:11:00,24.5625,100.0,7.522,8.42911,0.38,192.0
2021-06-19 03:12:00,24.5625,100.0,21.096,8.42457,0.38,192.0
2021-06-19 03:13:00,24.5625,100.0,8.993,8.42911,0.38,191.0
2021-06-19 03:14:00,24.5625,100.0,8.562,8.42911,0.38,191.0
2021-06-19 03:15:00,24.5625,100.0,7.987,8.42457,0.38,192.0
2021-06-19 03:16:00,24.5625,100.0,37.646,8.42003,0.38,192.0
2021-06-19 03:17:00,24.5625,100.0,5.586,8.42003,0.38,191.0
2021-06-19 03:18:00,24.5625,100.0,6.761,8.42911,0.38,191.0
2021-06-19 03:19:00,24.5625,100.0,38.609,8.43818,0.38,194.0
2021-06-19 03:20:00,24.5625,100.0,3.431,8.41549,0.38,192.0
2021-06-19 03:21:00,24.5625,100.0,13.371,8.42911,0.38,192.0
2021-06-19 03:22:00,24.5625,100.0,3.71,8.43365,0.38,193.0
2021-06-19 03:23:00,24.5625,100.0,4.986,8.42457,0.38,192.0
2021-06-19 03:24:00,24.5625,100.0,0.667,8.42003,0.38,193.0
2021-06-19 03:25:00,24.5625,100.0,11.233,8.42003,0.38,193.0
2021-06-19 03:26:00,24.5625,100.0,3.254,8.42911,0.38,193.0
2021-06-19 03:27:00,24.5625,100.0,27.52,8.42003,0.38,193.0
2021-06-19 03:28:00,24.5625,100.0,6.542,8.43365,0.38,192.0
2021-06-19 03:29:00,24.5625,100.0,2.73,8.42003,0.38,192.0
2021-06-19 03:30:00,24.5625,100.0,18.434,8.44726,0.38,192.0
2021-06-19 03:31:00,24.5625,100.0,9.517,8.42911,0.38,192.0
2021-06-19 03:32:00,24.5625,100.0,3.938,8.42911,0.38,190.0
2021-06-19 03:33:00,24.5,100.0,1.969,8.43818,0.38,192.0
2021-06-19 03:34:00,24.5625,100.0,12.061,8.43365,0.38,192.0
2021-06-19 03:35:00,24.5625,100.0,2.873,8.43365,0.38,192.0
2021-06-19 03:36:00,24.5625,100.0,33.935,8.42457,0.38,192.0
2021-06-19 03:37:00,24.5625,100.0,5.848,8.42911,0.38,192.0
2021-06-19 03:38:00,24.5,100.0,37.891,8.42003,0.38,194.0
2021-06-19 03:39:00,24.5625,100.0,3.135,8.42911,0.38,194.0
2021-06-19 03:40:00,24.5,100.0,4.843,8.42003,0.38,194.0
2021-06-19 03:41:00,24.5625,100.0,3.947,8.43818,0.38,198.0
2021-06-19 03:42:00,24.5625,100.0,36.894,8.42911,0.38,193.0
2021-06-19 03:43:00,24.5625,100.0,7.066,8.43365,0.38,192.0
2021-06-19 03:44:00,24.5,100.0,14.165,8.41549,0.38,193.0
2021-06-19 03:45:00,24.5625,100.0,4.302,8.43365,0.38,192.0
2021-06-19 03:46:00,24.5625,100.0,36.04,8.42911,0.38,187.0
2021-06-19 03:47:00,24.5625,100.0,4.006,8.42457,0.38,192.0
2021-06-19 03:48:00,24.5625,100.0,14.74,8.42911,0.38,192.0
2021-06-19 03:49:00,24.5625,100.0,4.86,8.42003,0.38,192.0
2021-06-19 03:50:00,24.5,100.0,7.108,8.42911,0.38,195.0
2021-06-19 03:51:00,24.5,100.0,6.753,8.43365,0.38,192.0
2021-06-19 03:52:00,24.5,100.0,36.911,8.42911,0.38,192.0
2021-06-19 03:53:00,24.5,100.0,2.789,8.43365,0.38,193.0
2021-06-19 03:54:00,24.5,100.0,10.683,8.42911,0.38,192.0
2021-06-19 03:55:00,24.5,100.0,14.825,8.43365,0.38,192.0
2021-06-19 03:56:00,24.5,100.0,3.702,8.42003,0.38,193.0
2021-06-19 03:57:00,24.5,100.0,4.91,8.42911,0.38,194.0
2021-06-19 03:58:00,24.5625,100.0,2.687,8.42911,0.38,192.0
2021-06-19 03:59:00,24.5,100.0,5.62,8.43365,0.38,192.0
2021-06-19 04:00:00,24.5625,100.0,3.025,8.42003,0.38,190.0
2021-06-19 04:01:00,24.5625,100.0,6.601,8.41549,0.38,192.0
2021-06-19 04:02:00,24.5625,100.0,31.028,8.42457,0.38,192.0
2021-06-19 04:03:00,24.5625,100.0,31.028,8.42457,0.38,192.0
2021-06-19 04:04:00,24.5,100.0,3.44,8.39279,0.38,193.0
2021-06-19 04:05:00,24.5,100.0,12.813,8.42457,0.38,192.0
2021-06-19 04:06:00,24.5,100.0,24.579,8.42003,0.38,192.0
2021-06-19 04:07:00,24.5,100.0,5.933,8.42003,0.38,192.0
2021-06-19 04:08:00,24.5,100.0,38.128,8.43365,0.38,192.0
2021-06-19 04:09:00,24.5,100.0,20.336,8.42911,0.38,193.0
2021-06-19 04:10:00,24.5,100.0,6.085,8.43365,0.38,190.0
2021-06-19 04:11:00,24.5,100.0,3.456,8.42911,0.38,191.0
2021-06-19 04:12:00,24.5,100.0,17.792,8.43365,0.38,192.0
2021-06-19 04:13:00,24.5,100.0,19.989,8.42003,0.38,192.0
2021-06-19 04:14:00,24.5,100.0,25.094,8.42911,0.38,192.0
2021-06-19 04:15:00,24.5,100.0,31.535,8.42003,0.38,191.0
2021-06-19 04:16:00,24.5,100.0,32.186,8.42911,0.38,192.0
